Feature,Coefficient,Absolute_Value
OverTime,0.724528735474999,0.724528735474999
YearsinCurrentRole,-0.4874876697315472,0.4874876697315472
TotalExperience(Years),-0.48474960375056414,0.48474960375056414
EnvironmentSatisfaction,-0.4690007775995952,0.4690007775995952
YearsSincePromotion,0.4316654907846783,0.4316654907846783
StockOptionLevel,-0.3860493350465971,0.3860493350465971
YearsWithCurrManager,-0.36966224327796315,0.36966224327796315
YearsatCompany,0.35602879166665763,0.35602879166665763
NumCompaniesWorked,0.3538231716205238,0.3538231716205238
JobInvolvement,-0.3433253028670173,0.3433253028670173
JobSatisfaction,-0.34261184861741034,0.34261184861741034
JobLevel,-0.33531494393436634,0.33531494393436634
Age,-0.3281214793312526,0.3281214793312526
DistanceFromHome(KM),0.31222862216645764,0.31222862216645764
AgeGroup,0.26729183963163355,0.26729183963163355
RelationshipSatisfaction,-0.26467610706655076,0.26467610706655076
Gender,0.23651859131955622,0.23651859131955622
MaritalStatus,0.22751375325182097,0.22751375325182097
EducationField,0.1518254003744473,0.1518254003744473
SalarySlab,-0.14955240569037193,0.14955240569037193
DailyRate,-0.1361447182909966,0.1361447182909966
JobRole,0.1290206891167664,0.1290206891167664
WorkLifeBalance,-0.1113456765680093,0.1113456765680093
SalaryHike %,-0.098811765655151,0.098811765655151
EmpID,0.08268273583890075,0.08268273583890075
TrainingsLastYear,-0.07616857084472155,0.07616857084472155
EmployeeNumber,-0.06057450614284308,0.06057450614284308
BusinessTravel,-0.05260331554980496,0.05260331554980496
Education,0.03627114331023222,0.03627114331023222
PerformanceRating,0.029386656440753695,0.029386656440753695
Department,0.01615413576349204,0.01615413576349204
MonthlyIncome,-0.009820390344104589,0.009820390344104589
HourlyRate,-0.009776333805421682,0.009776333805421682
StandardWorkingHours,0.0,0.0
